name,position,team
Fabricio Agosto Ramírez,GK,Fulham
Federico Fernández,DEF,Newcastle
Felipe Anderson Pereira Gomes,MID,West Ham
Fernando Marçal,DEF,Wolves
Fikayo Tomori,DEF,Chelsea
Filip Benkovic,DEF,Leicester
Florian Lejeune,DEF,Newcastle
Florin Andone,FWD,Brighton
Francisco Casilla Cortés,GK,Leeds
Fraser Forster,GK,Southampton
Gabriel Teodoro Martinelli Silva,MID,Arsenal
Gabriel Magalhães,DEF,Arsenal
Gary Cahill,DEF,Crystal Palace
Gedson Carvalho Fernandes,MID,Spurs
George Baldock,DEF,Sheffield Utd
Georginio Wijnaldum,MID,Liverpool
Giovani Lo Celso,MID,Spurs
Glenn Murray,FWD,Brighton
Grady Diangana,MID,West Brom
Granit Xhaka,MID,Arsenal
Gylfi Sigurdsson,MID,Everton
Hakim Ziyech,MID,Chelsea
Hal Robson-Kanu,FWD,West Brom
Hamza Choudhury,MID,Leicester
Harrison Reed,MID,Fulham
Harry Kane,FWD,Spurs
Harry Wilson,MID,Liverpool
Harry Winks,MID,Spurs
Harvey Barnes,MID,Leicester
Harvey Elliott,MID,Liverpool
Heung-Min Son,MID,Spurs
Hugo Lloris,GK,Spurs
Héctor Bellerín,DEF,Arsenal
Hélder Wander Sousa de Azevedo e Costa,MID,Leeds
Ian Carlo Poveda-Ocampo,MID,Leeds
Illan Meslier,GK,Leeds
Isaac Hayden,MID,Newcastle
Issa Diop,DEF,West Ham
Ivan Ricardo Neves Abreu Cavaleiro,MID,Fulham
Jack Harrison,MID,Leeds
Jack O'Connell,DEF,Sheffield Utd
Jack Robinson,DEF,Sheffield Utd
Jack Stephens,DEF,Southampton
Jack Wilshere,MID,West Ham
Jacob Murphy,MID,Newcastle
Jairo Riedewald,MID,Crystal Palace
Jake Livermore,MID,West Brom
Jake Vokins,DEF,Southampton
Jamaal Lascelles,DEF,Newcastle
Jamal Lewis,DEF,Newcastle
James Justin,DEF,Leicester
James Maddison,MID,Leicester
James McArthur,MID,Crystal Palace
James McCarthy,MID,Crystal Palace
James Milner,MID,Liverpool
James Rodríguez,MID,Everton
James Tomkins,DEF,Crystal Palace
James Ward-Prowse,MID,Southampton
Jamie Shackleton,MID,Leeds
Jamie Vardy,FWD,Leicester
Jannik Vestergaard,DEF,Southampton
Jan Bednarek,DEF,Southampton
Japhet Tanganga,DEF,Spurs
Jarrad Branthwaite,DEF,Everton
Jarrod Bowen,MID,West Ham
Jason Steele,GK,Brighton
Javier Manquillo,DEF,Newcastle
Jay-Roy Grot,MID,Leeds
Jayden Bogle,DEF,Sheffield Utd
Jean Michaël Seri,MID,Fulham
Jean-Philippe Gbamin,MID,Everton
Jeffrey Schlupp,MID,Crystal Palace
Jeff Hendrick,MID,Newcastle
Joelinton Cássio Apolinário de Lira,FWD,Newcastle
Joel Matip,DEF,Liverpool
Joel Ward,DEF,Crystal Palace
Joe Bryan,DEF,Fulham
Joe Hart,GK,Spurs
John Egan,DEF,Sheffield Utd
John Fleck,MID,Sheffield Utd
John Lundstram,MID,Sheffield Utd
John Ruddy,GK,Wolves
Jonas Lössl,GK,Everton
Jonathan Castro Otto,DEF,Wolves
Jonathan Leko,MID,West Brom
Jonjoe Kenny,DEF,Everton
Jonjo Shelvey,MID,Newcastle
Jonny Evans,DEF,Leicester
Jordan Ayew,FWD,Crystal Palace
Jordan Henderson,MID,Liverpool
Jordan Hugill,FWD,West Ham
Jordan Pickford,GK,Everton
Jordan Stevens,MID,Leeds
Jorge Luiz Frello Filho,MID,Chelsea
Joseph Gomez,DEF,Liverpool
Joseph Willock,MID,Arsenal
Josh Onomah,MID,Fulham
Josh Sims,MID,Southampton
José Izquierdo,MID,Brighton
João Filipe Iria Santos Moutinho,MID,Wolves
João Virgínia,GK,Everton
Joël Veltman,DEF,Brighton
Juan Foyth,DEF,Spurs
Kai Havertz,MID,Chelsea
Kalvin Phillips,MID,Leeds
Kamil Grosicki,MID,West Brom
Kamil Miazek,GK,Leeds
Karl Darlow,GK,Newcastle
Kasper Schmeichel,GK,Leicester
Kelechi Iheanacho,FWD,Leicester
Kelland Watts,DEF,Newcastle
Kenneth Zohore,FWD,West Brom
Kenny Tete,DEF,Fulham
Kepa Arrizabalaga,GK,Chelsea
Kevin McDonald,MID,Fulham
Kieran Gibbs,DEF,West Brom
Kieran Tierney,DEF,Arsenal
Konstantinos Tsimikas,DEF,Liverpool
Kurt Zouma,DEF,Chelsea
Kyle Bartley,DEF,West Brom
Kyle Edwards,MID,West Brom
Kyle Walker-Peters,DEF,Southampton
Leander Dendoncker,MID,Wolves
Leandro Trossard,MID,Brighton
Leif Davis,DEF,Leeds
Leonardo Campana,FWD,Wolves
Lewis Dunk,DEF,Brighton
Liam Cooper,DEF,Leeds
Lucas Digne,DEF,Everton
Lucas Rodrigues Moura da Silva,MID,Spurs
Lucas Torreira,MID,Arsenal
Lukasz Fabianski,GK,West Ham
Luka Milivojevic,MID,Crystal Palace
Luke Ayling,DEF,Leeds
Luke Freeman,MID,Sheffield Utd
Luke Thomas,DEF,Leicester
Lys Mousset,FWD,Sheffield Utd
Léo Bonatini,FWD,Wolves
Mamadou Sakho,DEF,Crystal Palace
Manuel Lanzini,MID,West Ham
Marcos Alonso,DEF,Chelsea
Marcus Bettinelli,GK,Fulham
Marc Albrighton,MID,Leicester
Marek Rodák,GK,Fulham
Mario Lemina,MID,Fulham
Mark Gillespie,GK,Newcastle
Mark Noble,MID,West Ham
Martin Dubravka,GK,Newcastle
Martin Kelly,DEF,Crystal Palace
Martín Montoya,DEF,Brighton
Mason Holgate,DEF,Everton
Mason Mount,MID,Chelsea
Mateo Kovacic,MID,Chelsea
Mateusz Klich,MID,Leeds
Matheus Pereira,MID,West Brom
Mathew Ryan,GK,Brighton
Matija Sarkic,GK,Wolves
Matteo Guendouzi,MID,Arsenal
Matthew Clarke,DEF,Brighton
Matthew Longstaff,MID,Newcastle
Matty James,MID,Leicester
Matt Doherty,DEF,Spurs
Matt Macey,GK,Arsenal
Matt Phillips,MID,West Brom
Matt Ritchie,MID,Newcastle
Maxime Le Marchand,DEF,Fulham
Max Kilman,DEF,Wolves
Max Lowe,DEF,Sheffield Utd
Max Meyer,MID,Crystal Palace
Mesut Özil,MID,Arsenal
Michael Hector,DEF,Fulham
Michael Keane,DEF,Everton
Michael Obafemi,FWD,Southampton
Michail Antonio,FWD,West Ham
Michy Batshuayi,FWD,Crystal Palace
Miguel Almirón,MID,Newcastle
Mohamed Naser El Sayed Elneny,MID,Arsenal
Mohamed Salah,MID,Liverpool
Mohammed Salisu,DEF,Southampton
Moise Kean,FWD,Everton
Morgan Gibbs-White,MID,Wolves
Moussa Djenepo,MID,Southampton
Moussa Sissoko,MID,Spurs
N'Golo Kanté,MID,Chelsea
Naby Keita,MID,Liverpool
Nampalys Mendy,MID,Leicester
Nathan Ferguson,DEF,Crystal Palace
Nathan Redmond,MID,Southampton
Nathan Tella,MID,Southampton
Neal Maupay,FWD,Brighton
Neco Williams,DEF,Liverpool
Neeskens Kebano,MID,Fulham
Nicolas Pépé,MID,Arsenal
Oliver Burke,MID,Sheffield Utd
Oliver Casey,DEF,Leeds
Oliver McBurnie,FWD,Sheffield Utd
Oliver Norwood,MID,Sheffield Utd
Oliver Skipp,MID,Spurs
Olivier Giroud,FWD,Chelsea
Oluwasemilogo Adesewo Ibidapo Ajayi,DEF,West Brom
Oriol Romeu Vidal,MID,Southampton
Oskar Buur,DEF,Wolves
Pablo Fornals,MID,West Ham
Pablo Hernández Domínguez,MID,Leeds
Pablo Marí,DEF,Arsenal
Pascal Groß,MID,Brighton
Pascal Struijk,DEF,Leeds
Patrick Bamford,FWD,Leeds
Patrick van Aanholt,DEF,Crystal Palace
Paulo Gazzaniga,GK,Spurs
Paul Dummett,DEF,Newcastle
Pedro Lomba Neto,MID,Wolves
Phil Jagielka,DEF,Sheffield Utd
Pierre-Emerick Aubameyang,MID,Arsenal
Pierre-Emile Højbjerg,MID,Spurs
Raúl Jiménez,FWD,Wolves
Reece James,DEF,Chelsea
Reiss Nelson,MID,Arsenal
Rekeem Harper,MID,West Brom
Rhian Brewster,FWD,Liverpool
Ricardo Domingos Barbosa Pereira,DEF,Leicester
Richarlison de Andrade,FWD,Everton
Roberto Firmino,FWD,Liverpool
Roberto Jimenez Gago,GK,West Ham
Robert Snodgrass,MID,West Ham
Robin Koch,DEF,Leeds
Rob Holding,DEF,Arsenal
Rodrigo Moreno,FWD,Leeds
Rolando Aarons,MID,Newcastle
Romaine Sawyers,MID,West Brom
Romain Saïss,DEF,Wolves
Ross Barkley,MID,Chelsea
Ruben Loftus-Cheek,MID,Chelsea
Rui Pedro dos Santos Patrício,GK,Wolves
Ryan Bennett,DEF,Wolves
Ryan Bertrand,DEF,Southampton
Ryan Fraser,MID,Newcastle
Ryan Fredericks,DEF,West Ham
Ryan Sessegnon,DEF,Spurs
Rúben Diogo da Silva Neves,MID,Wolves
Rúben Gonçalo Silva Nascimento Vinagre,DEF,Wolves
Sadio Mané,MID,Liverpool
Sam Field,MID,West Brom
Sam Johnstone,GK,West Brom
Sam Woods,DEF,Crystal Palace
Sander Berge,MID,Sheffield Utd
Scott Dann,DEF,Crystal Palace
Sead Kolasinac,DEF,Arsenal
Seamus Coleman,DEF,Everton
Sean Longstaff,MID,Newcastle
Serge Aurier,DEF,Spurs
Shane Duffy,DEF,Brighton
Shane Long,FWD,Southampton
Shkodran Mustafi,DEF,Arsenal
Simon Moore,GK,Sheffield Utd
Sofiane Boufal,MID,Southampton
Sokratis Papastathopoulos,DEF,Arsenal
Solomon March,MID,Brighton
Stefan Johansen,MID,Fulham
Steven Alzate,MID,Brighton
Steven Bergwijn,MID,Spurs
Stuart Armstrong,MID,Southampton
Stuart Dallas,DEF,Leeds
Sébastien Haller,FWD,West Ham
Takumi Minamino,MID,Liverpool
Tammy Abraham,FWD,Chelsea
Tanguy Ndombele,MID,Spurs
Tariq Lamptey,DEF,Brighton
Theo Walcott,MID,Everton
Thiago Thiago,DEF,Chelsea
Timothy Castagne,DEF,Leicester
Timo Werner,FWD,Chelsea
Tim Ream,DEF,Fulham
Toby Alderweireld,DEF,Spurs
Tomas Soucek,MID,West Ham
Tom Cairney,MID,Fulham
Tom Davies,MID,Everton
Trent Alexander-Arnold,DEF,Liverpool
Tyler Roberts,MID,Leeds
Tyrick Mitchell,DEF,Crystal Palace
Vicente Guaita,GK,Crystal Palace
Virgil van Dijk,DEF,Liverpool
Vitor Ferreira,MID,Wolves
Wayne Hennessey,GK,Crystal Palace
Wes Foderingham,GK,Sheffield Utd
Wes Morgan,DEF,Leicester
Wilfred Ndidi,MID,Leicester
Wilfried Zaha,MID,Crystal Palace
William Saliba,DEF,Arsenal
William Smallbone,MID,Southampton
Willian Borges Da Silva,MID,Arsenal
Willy Boly,DEF,Wolves
Willy Caballero,GK,Chelsea
Xherdan Shaqiri,MID,Liverpool
Yan Valery,DEF,Southampton
Yerry Mina,DEF,Everton
Yoshinori Muto,FWD,Newcastle
Youri Tielemans,MID,Leicester
Yves Bissouma,MID,Brighton
Zeze Steven Sessegnon,DEF,Fulham
Çaglar Söyüncü,DEF,Leicester
Ibrahima Diallo,MID,Southampton
Raheem Sterling,MID,Man City
Juan Mata,MID,Man Utd
Lee Peltier,DEF,West Brom
Bailey Peacock-Farrell,GK,Burnley
Anthony Driscoll-Glennon,DEF,Burnley
Cengiz Ünder,MID,Leicester
José Diogo Dalot Teixeira,DEF,Man Utd
James Bree,DEF,Aston Villa
Branislav Ivanovic,DEF,West Brom
Brandon Williams,DEF,Man Utd
Aymeric Laporte,DEF,Man City
Zack Steffen,GK,Man City
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City
Jesse Lingard,MID,Man Utd
Robbie Brady,MID,Burnley
Neil Taylor,DEF,Aston Villa
Mace Goodridge,MID,Burnley
Bruno Miguel Borges Fernandes,MID,Man Utd
Jack Jenkins,MID,Leeds
Craig Dawson,DEF,West Ham
Rayan Ait Nouri,DEF,Wolves
Gabriel Fernando de Jesus,FWD,Man City
Kevin De Bruyne,MID,Man City
Fernando Luiz Rosa,DEF,Man City
Phil Foden,MID,Man City
James Garner,MID,Man Utd
Riyad Mahrez,MID,Man City
Niels Nkounkou,DEF,Everton
John Stones,DEF,Man City
Danny Welbeck,FWD,Brighton
Edouard Mendy,GK,Chelsea
Ollie Watkins,FWD,Aston Villa
José Ignacio Peleteiro Romallo,MID,Aston Villa
Claudio Bravo,GK,Man City
Victor Lindelöf,DEF,Man Utd
Nathan Aké,DEF,Man City
Nathaniel Phillips,DEF,Liverpool
Facundo Pellistri,MID,Man Utd
Bertrand Traoré,MID,Aston Villa
Josh Benson,MID,Burnley
Jacob Ramsey,MID,Aston Villa
Jack Butland,GK,Crystal Palace
Axel Tuanzebe,DEF,Man Utd
Jack Cork,MID,Burnley
Robin Olsen,GK,Everton
Johann Berg Gudmundsson,MID,Burnley
Sergio Reguilón,DEF,Spurs
Marcos Rojo,DEF,Man Utd
Andi Zeqiri,FWD,Brighton
Carlos Vinicius Alves Morais,FWD,Spurs
Cole Palmer,MID,Man City
Meritan Shabani,MID,Wolves
Caoimhin Kelleher,GK,Liverpool
Kyle Walker,DEF,Man City
Diego Llorente,DEF,Leeds
Owen Otasowie,MID,Wolves
Thomas Partey,MID,Arsenal
Jayson Molumby,MID,Brighton
Kevin Long,DEF,Burnley
Alex Nicolao Telles,DEF,Man Utd
Erik Pieters,DEF,Burnley
Ashley Barnes,FWD,Burnley
Nélson Cabral Semedo,DEF,Wolves
Ashley Westwood,MID,Burnley
Terence Kongolo,DEF,Fulham
Ben Mee,DEF,Burnley
Gareth Bale,MID,Spurs
Oleksandr Zinchenko,DEF,Man City
Paul Pogba,MID,Man Utd
Leighton Clarkson,MID,Liverpool
Vladimir Coufal,DEF,West Ham
Bjorn Engels,DEF,Aston Villa
Henri Lansbury,MID,Aston Villa
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa
Dean Henderson,GK,Man Utd
Phil Bardsley,DEF,Burnley
Eric Garcia,DEF,Man City
Tyrone Mings,DEF,Aston Villa
Ben Gibson,DEF,Burnley
Ademola Lookman,MID,Fulham
Raphael Dias Belloli,MID,Leeds
John McGinn,MID,Aston Villa
Teden Mengi,DEF,Man Utd
Benjamin Mendy,DEF,Man City
Edinson Cavani,FWD,Man Utd
Chris Smalling,DEF,Man Utd
Ederson Santana de Moraes,GK,Man City
Rodrigo Hernandez,MID,Man City
Joachim Andersen,DEF,Fulham
Matt Targett,DEF,Aston Villa
James Trafford,GK,Man City
Chris Wood,FWD,Burnley
Nick Pope,GK,Burnley
Luke Shaw,DEF,Man Utd
Michael Verrips,GK,Sheffield Utd
Kean Bryan,DEF,Sheffield Utd
Stephen Henderson,GK,Crystal Palace
Mbwana Samatta,FWD,Aston Villa
Daniel James,MID,Man Utd
Charlie Taylor,DEF,Burnley
David de Gea,GK,Man Utd
Conor Gallagher,MID,West Brom
Dwight McNeil,MID,Burnley
Thiago Alcántara do Nascimento,MID,Liverpool
Tommy Doyle,MID,Man City
João Pedro Cavaco Cancelo,DEF,Man City
Max Thompson,FWD,Burnley
Joe Rodon,DEF,Spurs
Matthew Cash,DEF,Aston Villa
Tahith Chong,MID,Man Utd
Robert Sánchez,GK,Brighton
Marvelous Nakamba,MID,Aston Villa
James Tarkowski,DEF,Burnley
Rhys Williams,DEF,Liverpool
Daniel N'Lundulu,FWD,Southampton
Nathaniel Clyne,DEF,Crystal Palace
Anthony Martial,FWD,Man Utd
Ahmed El Mohamady,DEF,Aston Villa
Saïd Benrahma,MID,West Ham
Jed Steer,GK,Aston Villa
Ezri Konsa Ngoyo,DEF,Aston Villa
Jay Rodriguez,FWD,Burnley
Jimmy Dunne,DEF,Burnley
Mason Greenwood,MID,Man Utd
Aaron Wan-Bissaka,DEF,Man Utd
Ellis Simms,FWD,Everton
Harry Maguire,DEF,Man Utd
Ilkay Gündogan,MID,Man City
Eric Bailly,DEF,Man Utd
Karlan Grant,FWD,West Brom
Ørjan Nyland,GK,Aston Villa
Ki-Jana Hoever,DEF,Wolves
Kayne Ramsay,DEF,Southampton
Timothy Fosu-Mensah,DEF,Man Utd
Sergio Agüero,FWD,Man City
Filip Krovinovic,MID,West Brom
Karlo Ziger,GK,Chelsea
Rúben Santos Gato Alves Dias,DEF,Man City
Wesley Fofana,DEF,Leicester
Josh Brownhill,MID,Burnley
Bobby Thomas,DEF,Burnley
Marcus Rashford,MID,Man Utd
Andreas Pereira,MID,Man Utd
Ryan Inniss,DEF,Crystal Palace
Anwar El Ghazi,MID,Aston Villa
Keinan Davis,FWD,Aston Villa
Odion Ighalo,FWD,Man Utd
Elliot Anderson,MID,Newcastle
Phil Jones,DEF,Man Utd
Elia Caprile,GK,Leeds
Kortney Hause,DEF,Aston Villa
Scott McTominay,MID,Man Utd
Matthew Lowton,DEF,Burnley
Ferran Torres,MID,Man City
Jack Grealish,MID,Aston Villa
Frederico Rodrigues de Paula Santos,MID,Man Utd
Douglas Luiz Soares de Paulo,MID,Aston Villa
Tom Heaton,GK,Aston Villa
Mateusz Bogusz,MID,Leeds
Tosin Adarabioyo,DEF,Fulham
Nemanja Matic,MID,Man Utd
Indiana Vassilev,FWD,Aston Villa
Will Norris,GK,Burnley
Wesley Moraes,FWD,Aston Villa
Matej Vydra,FWD,Burnley
Frédéric Guilbert,DEF,Aston Villa
Islam Slimani,FWD,Leicester
Conor Hourihane,MID,Aston Villa
Ben Godfrey,DEF,Everton
Nicolás Otamendi,DEF,Man City
Sergio Romero,GK,Man Utd
Lewis Richardson,FWD,Burnley
Donny van de Beek,MID,Man Utd
Rúnar Alex Rúnarsson,GK,Arsenal
Adrián Bernabé,MID,Man City
Liam Delap,FWD,Man City
Ola Aina,DEF,Fulham
Lee Grant,GK,Man Utd
Daniel Langley,GK,Newcastle
Faustino Anjorin,MID,Chelsea
Jake Cain,MID,Liverpool
Theo Corbeanu,MID,Wolves
Felix Nmecha,MID,Man City
Scott Carson,GK,Man City
Taylor Perry,MID,Wolves
Luke Cundle,MID,Wolves
Joel Mumbongo,FWD,Burnley
Anthony Mancini,MID,Burnley
Christian Marques,DEF,Wolves
Lewis Richards,DEF,Wolves
Niall Huggins,FWD,Leeds
Kgaogelo Chauke,MID,Southampton
Cheikh Diaby,FWD,West Brom
Harry Lewis,GK,Southampton
Andreas Söndergaard,GK,Wolves
Antwoine Hackford,FWD,Sheffield Utd
Luke Mbete,DEF,Man City
Charlie Cresswell,DEF,Leeds
Taylor Harwood-Bellis,DEF,Man City
Teddy Jenks,MID,Brighton
Jakub Moder,MID,Brighton
Max Sanders,MID,Brighton
Percy Tau,MID,Brighton
Reda Khadra,MID,Brighton
Jensen Weir,MID,Brighton
Patrick Cutrone,FWD,Wolves
Nigel Lonwijk,DEF,Wolves
Andy Lonergan,GK,West Brom
Will Ferry,MID,Southampton
Ademipo Odubeko,FWD,West Ham
Allan Tchaptchet,DEF,Southampton
Frederik Alves,DEF,West Ham
Caleb Watts,MID,Southampton
Tyler Onyango,MID,Everton
Jean-Philippe Mateta,FWD,Crystal Palace
Alexandre Jankewitz,MID,Southampton
Amad Diallo,MID,Man Utd
Willian José Da Silva,FWD,Wolves
Kyron Gordon,DEF,Sheffield Utd
Alfie Devine,MID,Spurs
Martin Ødegaard,MID,Arsenal
Morgan Sanson,MID,Aston Villa
Mbaye Diagne,FWD,West Brom
Hugo Bueno,DEF,Wolves
Ozan Kabak,DEF,Liverpool
Richard Nartey,DEF,Burnley
Michal Karbownik,DEF,Brighton
Joshua King,FWD,Everton
Iliman Ndiaye,MID,Sheffield Utd
Vontae Daley-Campbell,DEF,Leicester
Thomas McGill,GK,Brighton
Claudio Gomes,MID,Man City
Zak Brunt,MID,Sheffield Utd
Okay Yokuslu,MID,West Brom
Ryan Finnigan,MID,Southampton
Thakgalo Leshabela,MID,Leicester
Moisés Caicedo,MID,Brighton
Dane Scarlett,FWD,Spurs
Josh Maja,FWD,Fulham
Joe Gelhardt,FWD,Leeds
Jamal Baptiste,DEF,West Ham
Conor Coventry,MID,West Ham
Frankie Maguire,MID,Sheffield Utd
Shola Shoretire,MID,Man Utd
Kaine Hayden,MID,Aston Villa
Carney Chukwuemeka,MID,Aston Villa
Ryan Astley,DEF,Everton
Kyle John,DEF,Everton
Sidnei Tavares,MID,Leicester
Nathan Trott,GK,West Ham
Nathan Broadhead,MID,Everton
Reece Hannam,DEF,Crystal Palace
Jakub Ojrzynski,GK,Liverpool
Harry Tyrer,GK,Everton
Liam Hughes,GK,Liverpool
Shane Flynn,MID,Leicester
Gaetano Berardi,DEF,Leeds
Jaden Philogene-Bidace,MID,Aston Villa
Nathan Bishop,GK,Man Utd
Thanawat Suengchitthawon,MID,Leicester
Isaac Price,MID,Everton
Jesurun Rak-Sakyi,MID,Crystal Palace
Reece Welch,DEF,Everton
Miguel Azeez,MID,Arsenal
Crysencio Summerville,MID,Leeds
Sam Greenwood,FWD,Leeds
Cody Drameh,DEF,Leeds
Fabio Carvalho,MID,Fulham
Ben Woodburn,MID,Liverpool
Valentino Livramento,DEF,Chelsea
Caleb Taylor,DEF,West Brom
Billy Koumetio,DEF,Liverpool
Tawanda Maswanhise,MID,Leicester
Taylor Gardner-Hickman,MID,West Brom
Anthony Elanga,MID,Man Utd
Daniel Jebbison,FWD,Sheffield Utd
Femi Seriki,MID,Sheffield Utd
Toby King,MID,West Brom
Harry Boyes,DEF,Sheffield Utd
Hannibal Mejbri,MID,Man Utd
Tyrese Francois,MID,Fulham
William Fish,DEF,Man Utd
Sylvester Jasper,MID,Fulham
William Osula,FWD,Sheffield Utd
Tim Iroegbunam,MID,West Brom
Nile John,MID,Spurs
