name,position,team
Femi Seriki,DEF,Sheffield Utd
Jack Hinshelwood,MID,Brighton
Jadon Sancho,MID,Man Utd
Rhys Norrington-Davies,DEF,Sheffield Utd
Vitaly Janelt,MID,Brentford
Ionuț Radu,GK,Bournemouth
Andre Brooks,MID,Sheffield Utd
Jack Grealish,MID,Man City
Emil Krafth,DEF,Newcastle
Boubacar Traoré,MID,Wolves
Denis Franchi,GK,Burnley
James Shea,GK,Luton
Curtis Jones,MID,Liverpool
Reece James,DEF,Chelsea
Brandon Austin,GK,Spurs
Robin Olsen,GK,Aston Villa
Ben Osborn,MID,Sheffield Utd
Amad Diallo,MID,Man Utd
Anthony Elanga,MID,Nott'm Forest
Oliver Norwood,MID,Sheffield Utd
Harry Toffolo,DEF,Nott'm Forest
Bernardo Veiga de Carvalho e Silva,MID,Man City
Charlie Taylor,DEF,Burnley
Ivan Toney,FWD,Brentford
Nuno Varela Tavares,DEF,Arsenal
Alex Murphy,DEF,Newcastle
Eddie Nketiah,FWD,Arsenal
Benoît Badiashile,DEF,Chelsea
Emile Smith Rowe,MID,Arsenal
Jarell Quansah,DEF,Liverpool
Ben Chilwell,DEF,Chelsea
Philippe Coutinho Correia,MID,Aston Villa
Tim Iroegbunam,MID,Aston Villa
Andy Lonergan,GK,Everton
Pablo Sarabia,MID,Wolves
Kieffer Moore,FWD,Bournemouth
Wayne Hennessey,GK,Nott'm Forest
Remi Matthews,GK,Crystal Palace
Ibrahima Konaté,DEF,Liverpool
Joelinton Cássio Apolinário de Lira,MID,Newcastle
Marcus Tavernier,MID,Bournemouth
Matthew Cox,GK,Brentford
Manuel Akanji,DEF,Man City
Matheus França de Oliveira,MID,Crystal Palace
Lucas Tolentino Coelho de Lima,MID,West Ham
Rasmus Højlund,FWD,Man Utd
Luca Koleosho,MID,Burnley
Rayan Aït-Nouri,DEF,Wolves
Calum Chambers,DEF,Aston Villa
Ben Davies,DEF,Spurs
Emerson Palmieri dos Santos,DEF,West Ham
Luis Díaz,MID,Liverpool
Lawrence Vigouroux,GK,Burnley
Jakub Moder,MID,Brighton
Dara Costelloe,MID,Burnley
John Stones,DEF,Man City
Idrissa Gueye,MID,Everton
Harry Wilson,MID,Fulham
Marcus Bettinelli,GK,Chelsea
Malcolm Ebiowei,MID,Crystal Palace
Benjamin White,DEF,Arsenal
Teden Mengi,DEF,Man Utd
Ezri Konsa Ngoyo,DEF,Aston Villa
Thomas Partey,MID,Arsenal
Jamal Lewis,DEF,Newcastle
Leon Bailey,MID,Aston Villa
Ethan Horvath,GK,Nott'm Forest
Luke Plange,FWD,Crystal Palace
Luke Shaw,DEF,Man Utd
Mario Lemina,MID,Wolves
Andi Zeqiri,FWD,Brighton
James Tarkowski,DEF,Everton
Kristoffer Ajer,DEF,Brentford
Brennan Johnson,MID,Nott'm Forest
Jake O'Brien,DEF,Crystal Palace
Ryan Sessegnon,DEF,Spurs
Justin Kluivert,MID,Bournemouth
Viljami Sinisalo,GK,Aston Villa
Pierre-Emile Højbjerg,MID,Spurs
Lesley Ugochukwu,MID,Chelsea
Arnaut Danjuma Groeneveld,MID,Everton
Callum Hudson-Odoi,MID,Chelsea
Kieran Tierney,DEF,Arsenal
Tim Ream,DEF,Fulham
Phil Foden,MID,Man City
Christian Eriksen,MID,Man Utd
Fábio Silva,FWD,Wolves
Alfie Whiteman,GK,Spurs
James Tomkins,DEF,Crystal Palace
William Osula,FWD,Sheffield Utd
Ollie Watkins,FWD,Aston Villa
Gabriel dos Santos Magalhães,DEF,Arsenal
Takehiro Tomiyasu,DEF,Arsenal
Harrison Reed,MID,Fulham
Manor Solomon,MID,Spurs
Marcus Oliveira Alencar,MID,Arsenal
Eric Bailly,DEF,Man Utd
Hakim Ziyech,MID,Chelsea
Gianluca Scamacca,FWD,West Ham
Christian Nørgaard,MID,Brentford
Sean Longstaff,MID,Newcastle
Pelly Ruddock Mpanzu,MID,Luton
Danny Ings,FWD,West Ham
Donny van de Beek,MID,Man Utd
Giulian Biancone,DEF,Nott'm Forest
Albert Sambi Lokonga,MID,Arsenal
Luke McNally,DEF,Burnley
Kaoru Mitoma,MID,Brighton
Abdul Rahman Baba,DEF,Chelsea
Dango Ouattara,MID,Bournemouth
Daniel Jebbison,FWD,Sheffield Utd
Simon Adingra,MID,Brighton
Scott Twine,MID,Burnley
Sergio Gómez,DEF,Man City
