name,position,team
Nathan Redmond,MID,Southampton
Junior Stanislas,MID,Bournemouth
Armando Broja,FWD,Chelsea
Fabian Schär,DEF,Newcastle
Jonny Evans,DEF,Leicester
Brennan Johnson,FWD,Nott'm Forest
Cheick Doucouré,MID,Crystal Palace
Oliver Hammond,MID,Nott'm Forest
Luke Cundle,MID,Wolves
Fin Stevens,DEF,Brentford
Brandon Austin,GK,Spurs
Luka Milivojevic,MID,Crystal Palace
Wesley Fofana,DEF,Leicester
Gianluca Scamacca,FWD,West Ham
Alisson Ramses Becker,GK,Liverpool
Che Adams,FWD,Southampton
Sam Greenwood,FWD,Leeds
Nathaniel Chalobah,MID,Fulham
Nathaniel Phillips,DEF,Liverpool
Loïc Mbe Soh,DEF,Nott'm Forest
Jason Steele,GK,Brighton
Tosin Adarabioyo,DEF,Fulham
Kalvin Phillips,MID,Man City
Carlos Ribeiro Dias,MID,Nott'm Forest
Marek Rodák,GK,Fulham
Ryan Fraser,MID,Newcastle
Luke Thomas,DEF,Leicester
Karl Darlow,GK,Newcastle
Rodrigo Hernandez,MID,Man City
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd
Fraser Forster,GK,Spurs
Alex Oxlade-Chamberlain,MID,Liverpool
Jack Grealish,MID,Man City
James McAtee,MID,Man City
Will Smallbone,MID,Southampton
Chris Wood,FWD,Newcastle
Darren Randolph,GK,West Ham
Leander Dendoncker,MID,Wolves
Allan Marques Loureiro,MID,Everton
Ibrahima Konaté,DEF,Liverpool
Aleksandar Mitrović,FWD,Fulham
Christian Eriksen,MID,Man Utd
Joe Willock,MID,Newcastle
Yerson Mosquera Valdelamar,DEF,Wolves
Roméo Lavia,MID,Southampton
Kristoffer Ajer,DEF,Brentford
Will Hughes,MID,Crystal Palace
Joe Ayodele-Aribo,MID,Southampton
Orel Mangala,MID,Nott'm Forest
Luke Plange,FWD,Crystal Palace
Cristian Romero,DEF,Spurs
Jack Harrison,MID,Leeds
Luis Sinisterra Lucumí,MID,Leeds
Nathaniel Clyne,DEF,Crystal Palace
Stuart Armstrong,MID,Southampton
Oriol Romeu Vidal,MID,Southampton
Tyler Roberts,MID,Leeds
Harrison Ashby,DEF,West Ham
Lewis Brunt,DEF,Leicester
Matt Ritchie,DEF,Newcastle
Jannik Vestergaard,DEF,Leicester
Enock Mwepu,MID,Brighton
Trevoh Chalobah,DEF,Chelsea
Chris Richards,DEF,Crystal Palace
Diogo Teixeira da Silva,FWD,Liverpool
Martin Dubravka,GK,Newcastle
Rodrigo Moreno,MID,Leeds
Francisco Jorge Tomás Oliveira,MID,Wolves
Mohammed Salisu,DEF,Southampton
Frederico Rodrigues de Paula Santos,MID,Man Utd
Jakub Moder,MID,Brighton
Jean-Philippe Mateta,FWD,Crystal Palace
Salomón Rondón,FWD,Everton
Liam Cooper,DEF,Leeds
Erling Haaland,FWD,Man City
Lewis Cook,MID,Bournemouth
Remi Matthews,GK,Crystal Palace
Phil Foden,MID,Man City
Calvin Ramsay,DEF,Liverpool
Steve Cook,DEF,Nott'm Forest
Ryan Bertrand,DEF,Leicester
Sékou Mara,FWD,Southampton
Scott McTominay,MID,Man Utd
Xande Nascimento da Costa Silva,MID,Nott'm Forest
Dean Henderson,GK,Nott'm Forest
Jack Stacey,DEF,Bournemouth
Mason Holgate,DEF,Everton
Steven Alzate,MID,Brighton
Mateusz Klich,MID,Leeds
Armel Bella-Kotchap,DEF,Southampton
Ainsley Maitland-Niles,MID,Arsenal
James Milner,MID,Liverpool
Keane Lewis-Potter,MID,Brentford
Kevin De Bruyne,MID,Man City
Sepp van den Berg,DEF,Liverpool
Joe Gelhardt,FWD,Leeds
Diego Carlos Santos Silva,DEF,Aston Villa
Lucas Rodrigues Moura da Silva,MID,Spurs
Ben Mee,DEF,Brentford
Marcus Oliveira Alencar,MID,Arsenal
Daniel James,MID,Leeds
João Cancelo,DEF,Man City
Bruno Borges Fernandes,MID,Man Utd
Tyler Adams,MID,Leeds
Ciaran Clark,DEF,Newcastle
Mark Travers,GK,Bournemouth
Jordan Zemura,DEF,Bournemouth
Rob Holding,DEF,Arsenal
Ivan Toney,FWD,Brentford
Pontus Jansson,DEF,Brentford
Marvelous Nakamba,MID,Aston Villa
Nampalys Mendy,MID,Leicester
Fábio Ferreira Vieira,MID,Arsenal
Ryan Fredericks,DEF,Bournemouth
Stanley Mills,MID,Everton
Kurt Zouma,DEF,West Ham
Luke Mbete-Tabu,DEF,Man City
Armstrong Oko-Flex,MID,West Ham
Taiwo Awoniyi,FWD,Nott'm Forest
Harry Winks,MID,Spurs
Levi Colwill,DEF,Brighton
Ricardo Barbosa Pereira,DEF,Leicester
Moussa Djenepo,MID,Southampton
