name,position,team
Alex Scott,MID,Bournemouth
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest
Tomiyasu Takehiro,DEF,Arsenal
Malcolm Ebiowei,MID,Crystal Palace
Ben Brereton Díaz,MID,Southampton
Pau Torres,DEF,Aston Villa
Joel Ward,DEF,Crystal Palace
Will Lankshear,FWD,Spurs
Hwang Hee-chan,MID,Wolves
Mikey Moore,MID,Spurs
Hákon Valdimarsson,GK,Brentford
Alex Paulsen,GK,Bournemouth
João Victor Gomes da Silva,MID,Wolves
Cole Palmer,MID,Chelsea
Mitoma Kaoru,MID,Brighton
Boubakary Soumaré,MID,Leicester
Chris Wood,FWD,Nott'm Forest
Joe Worrall,DEF,Nott'm Forest
Jeffrey Schlupp,MID,Crystal Palace
Milos Kerkez,DEF,Bournemouth
Adrian Mazilu,MID,Brighton
Jason Steele,GK,Brighton
Arijanet Muric,GK,Ipswich
Carl Rushworth,GK,Brighton
Ibrahim Sangaré,MID,Nott'm Forest
Hannibal Mejbri,MID,Man Utd
Brandon Austin,GK,Spurs
Conor Coady,DEF,Leicester
Wes Foderingham,GK,West Ham
Armando Broja,FWD,Chelsea
Adam Webster,DEF,Brighton
Thomas Partey,MID,Arsenal
Harry Wilson,MID,Fulham
Kasey McAteer,MID,Leicester
Curtis Jones,MID,Liverpool
Wes Burns,MID,Ipswich
Yunus Emre Konak,MID,Brentford
Max Kilman,DEF,West Ham
Deniz Undav,FWD,Brighton
Alex Murphy,DEF,Newcastle
George Edmundson,DEF,Ipswich
Sávio 'Savinho' Moreira de Oliveira,MID,Man City
Emerson Palmieri dos Santos,DEF,West Ham
Abdoulaye Doucouré,MID,Everton
José Malheiro de Sá,GK,Wolves
Alexander Isak,FWD,Newcastle
Yves Bissouma,MID,Spurs
Conor Gallagher,MID,Chelsea
Philip Billing,MID,Bournemouth
Gonçalo Manuel Ganchinho Guedes,MID,Wolves
Brajan Gruda,MID,Brighton
Rodrigo 'Rodri' Hernandez,MID,Man City
Đorđe Petrović,GK,Chelsea
Craig Dawson,DEF,Wolves
Jordan Ayew,MID,Crystal Palace
Marcos Senesi,DEF,Bournemouth
Kiernan Dewsbury-Hall,MID,Chelsea
Kaine Kesler-Hayden,DEF,Aston Villa
João Cavaco Cancelo,DEF,Man City
Maxwel Cornet,MID,West Ham
Jefferson Lerma Solís,MID,Crystal Palace
Jannik Vestergaard,DEF,Leicester
Luke Thomas,DEF,Leicester
Bruno Borges Fernandes,MID,Man Utd
Adam Smith,DEF,Bournemouth
Miodrag Pivaš,DEF,Newcastle
Billy Gilmour,MID,Brighton
Rasmus Højlund,FWD,Man Utd
Callum Wilson,FWD,Newcastle
Crysencio Summerville,MID,West Ham
Jesurun Rak-Sakyi,MID,Crystal Palace
Oliver Skipp,MID,Spurs
Tomáš Souček,MID,West Ham
Taylor Harwood-Bellis,DEF,Southampton
Alphonse Areola,GK,West Ham
Lisandro Martínez,DEF,Man Utd
Richarlison de Andrade,FWD,Spurs
Joško Gvardiol,DEF,Man City
Harry Clarke,DEF,Ipswich
Joachim Andersen,DEF,Crystal Palace
Moisés Caicedo Corozo,MID,Chelsea
Carlos Henrique Casimiro,MID,Man Utd
Jhon Durán,FWD,Aston Villa
Jacob Murphy,MID,Newcastle
Sean Longstaff,MID,Newcastle
Leander Dendoncker,MID,Aston Villa
Trevoh Chalobah,DEF,Chelsea
Ryan Manning,DEF,Southampton
Vitalii Mykolenko,DEF,Everton
Ryan Christie,MID,Bournemouth
Fábio Silva,FWD,Wolves
Kepa Arrizabalaga,GK,Chelsea
Frank Onyeka,MID,Brentford
Youssef Ramalho Chermiti,FWD,Everton
Morgan Gibbs-White,MID,Nott'm Forest
Noni Madueke,MID,Chelsea
Nélson Cabral Semedo,DEF,Wolves
Tommy Doyle,MID,Wolves
Tom Heaton,GK,Man Utd
Lucas Bergvall,MID,Spurs
Lesley Ugochukwu,MID,Chelsea
Evan Ferguson,FWD,Brighton
Christian Eriksen,MID,Man Utd
Danny Ings,FWD,West Ham
Jean-Ricner Bellegarde,MID,Wolves
Tim Ream,DEF,Fulham
Benoît Badiashile,DEF,Chelsea
Radu Drăgușin,DEF,Spurs
Jack Stephens,DEF,Southampton
Mateo Kovačić,MID,Man City
Nicolás Domínguez,MID,Nott'm Forest
Ben Doak,MID,Liverpool
Phil Foden,MID,Man City
Mason Mount,MID,Man Utd
Gabriel Martinelli Silva,MID,Arsenal
Yasin Ayari,MID,Brighton
Facundo Buonanotte,MID,Leicester
Caoimhin Kelleher,GK,Liverpool
Odeluga Offiah,DEF,Brighton
Lino da Cruz Sousa,DEF,Aston Villa
Amario Cozier-Duberry,MID,Brighton
Emerson Leite de Souza Junior,DEF,Spurs
Kai Havertz,FWD,Arsenal
Scott Carson,GK,Man City
Ethan Brierley,MID,Brentford
Andrey Nascimento dos Santos,MID,Chelsea
Rico Henry,DEF,Brentford
Mateusz Lis,GK,Southampton
Yoane Wissa,FWD,Brentford
Daniel Iversen,GK,Leicester
Mads Hermansen,GK,Leicester
Rob Holding,DEF,Crystal Palace
Ismaïla Sarr,MID,Crystal Palace
Jarrod Bowen,MID,West Ham
Mark O’Mahony,FWD,Brighton
Ryan Sessegnon,DEF,Fulham
Josh Dasilva,MID,Brentford
Jadon Sancho,MID,Man Utd
Sam Johnstone,GK,Crystal Palace
Jonny Evans,DEF,Man Utd
Mohamed Salah,MID,Liverpool
Timothy Castagne,DEF,Fulham
Tariq Lamptey,DEF,Brighton
Ola Aina,DEF,Nott'm Forest
Taiwo Awoniyi,FWD,Nott'm Forest
Leandro Trossard,MID,Arsenal
Jacob Greaves,DEF,Ipswich
Alfie Whiteman,GK,Spurs
Séamus Coleman,DEF,Everton
Fabian Schär,DEF,Newcastle
Nicolas Jackson,FWD,Chelsea
Joe White,MID,Newcastle
Jamie Vardy,FWD,Leicester
Miguel Almirón Rejala,MID,Newcastle
James Garner,MID,Everton
Marcus Tavernier,MID,Bournemouth
Lewis Dobbin,MID,Aston Villa
Viljami Sinisalo,GK,Aston Villa
Omari Kellyman,MID,Chelsea
Daniel Castelo Podence,MID,Wolves
Martial Godo,MID,Fulham
Harrison Reed,MID,Fulham
Guido Rodríguez,MID,West Ham
Will Alves,MID,Leicester
Carlos Baleba,MID,Brighton
James Hill,DEF,Bournemouth
David Datro Fofana,FWD,Chelsea
Ryan Fraser,MID,Newcastle
Ângelo Gabriel Borges Damaceno,MID,Chelsea
Nathan Patterson,DEF,Everton
Robin Olsen,GK,Aston Villa
Mathias Jensen,MID,Brentford
Bart Verbruggen,GK,Brighton
Dango Ouattara,MID,Bournemouth
Emmanuel Dennis,FWD,Nott'm Forest
Yehor Yarmoliuk,MID,Brentford
Julián Álvarez,FWD,Man City
Tyler Dibling,MID,Southampton
Paul Onuachu,FWD,Southampton
Bobby Clark,MID,Liverpool
Kieran Tierney,DEF,Arsenal
Darwin Núñez Ribeiro,FWD,Liverpool
Josh Bowler,MID,Nott'm Forest
Sugawara Yukinari,DEF,Southampton
